Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
beirut,BEIRUT,"<h3>BEIRUT</h3><p>Blood mandarin, cinnamon, leather</p><p>The city rebuilds itself every generation and somehow comes back more beautiful. Beirut at night is gold leaf and concrete, rooftop bars overlooking the Corniche, the scent of jasmine and construction dust carried on Mediterranean air. There is a specific glamour here — earned, not inherited. Spiced leather and amber warmed by skin that has danced until the call to prayer. Beirut is the scent of resilience dressed in silk, of a city that refuses to stop celebrating even when the walls shake.</p><p><strong>Ember Territory</strong> — The Intimacy of Ancient Routes</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Ember, Ember Territory, Blood mandarin, cinnamon, leather, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-BEIRUT-6ML,30,shopify,10,deny,manual,28,,TRUE,TRUE,,,1,BEIRUT perfume oil by Tarife Attar,FALSE,BEIRUT — Perfume Oil | Tarife Attar Atlas Collection,"Blood mandarin, cinnamon, leather. Ember Territory. Clean, skin-safe perfume oil. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
beirut,,,,,,,,Size,12ml,,,,,TA-BEIRUT-12ML,55,shopify,5,deny,manual,48,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
tarifa,TARIFA,"<h3>TARIFA</h3><p><em>Previously known as Teeb Musk</em></p><p>White flowers, jasmine, powdery musk</p><p>The wind never stops in Tarifa. It sweeps across the Strait of Gibraltar, carrying Africa on one gust and Europe on the next, mixing jasmine with salt, powder with stone. This is the southernmost point of the continent — the place where the Atlas begins, where the cartographer first set pen to paper. The musk here is white and close, intimate as a whispered coordinate, clinging to wind-chapped skin like a secret shared between two shores. Tarifa is where the map starts and the perfume becomes personal.</p><p><strong>Ember Territory</strong> — The Intimacy of Ancient Routes</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Ember, Ember Territory, formerly Teeb Musk, White flowers, jasmine, powdery musk, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-TARIFA-6ML,30,shopify,10,deny,manual,28,,TRUE,TRUE,,,1,TARIFA perfume oil by Tarife Attar,FALSE,TARIFA — Teeb Musk Perfume Oil | Tarife Attar Atlas Collection,"White flowers, jasmine, powdery musk. Ember Territory. Clean, skin-safe perfume oil. Previously known as Teeb Musk. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
tarifa,,,,,,,,Size,12ml,,,,,TA-TARIFA-12ML,55,shopify,5,deny,manual,48,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
bahia,BAHIA,"<h3>BAHIA</h3><p><em>Previously known as Coconut Jasmine</em></p><p>Brazilian coast, jasmine, warm coconut</p><p>The coast curves like a hip and the water is the temperature of skin. Jasmine grows wild above the tide line, its petals scattering onto black sand. In Salvador da Bahia, the air never loses its warmth — coconut milk simmering in dendê oil, white flowers pinned in dark hair, the Atlantic exhaling through open windows at three in the afternoon.</p><p><strong>Tidal Territory</strong> — The Pull of Open Water</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Tidal, Tidal Territory, formerly Coconut Jasmine, Brazilian coast, jasmine, warm coconut, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-BAHIA-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,BAHIA perfume oil by Tarife Attar,FALSE,BAHIA — Coconut Jasmine Perfume Oil | Tarife Attar Atlas Collection,"Brazilian coast, jasmine, warm coconut. Tidal Territory. Clean, skin-safe perfume oil. Previously known as Coconut Jasmine. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
bahia,,,,,,,,Size,12ml,,,,,TA-BAHIA-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
bahrain,BAHRAIN,"<h3>BAHRAIN</h3><p><em>Previously known as Blue Oud</em></p><p>Pearl diver's musk, gulf breeze</p><p>Before the oil, there were pearls. The divers descended on a single breath into the blue-green Arabian Gulf, surfacing with nacreous treasure and lungs full of salt. Bahrain still smells of that clean courage — gulf breeze, white musk dried in sea air, the mineral calm of water that has held civilizations in its palm.</p><p><strong>Tidal Territory</strong> — The Pull of Open Water</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Tidal, Tidal Territory, formerly Blue Oud, Pearl diver's musk, gulf breeze, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-BAHRAIN-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,BAHRAIN perfume oil by Tarife Attar,FALSE,BAHRAIN — Blue Oud Perfume Oil | Tarife Attar Atlas Collection,"Pearl diver's musk, gulf breeze. Tidal Territory. Clean, skin-safe perfume oil. Previously known as Blue Oud. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
bahrain,,,,,,,,Size,12ml,,,,,TA-BAHRAIN-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
big-sur,BIG SUR,"<h3>BIG SUR</h3><p><em>Previously known as Del Mar</em></p><p>Pacific coast, salt mist, wild cliffs</p><p>The Pacific throws itself against granite and the mist carries everything — wild sage, coastal redwood, the mineral shock of cold saltwater on sun-heated stone. Big Sur is where the continent simply ends and the ocean takes over. The air here is not gentle. It is alive, elemental, tasting of cliffs and fog and freedom.</p><p><strong>Tidal Territory</strong> — The Pull of Open Water</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Tidal, Tidal Territory, formerly Del Mar, Pacific coast, salt mist, wild cliffs, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-BIG-SUR-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,BIG SUR perfume oil by Tarife Attar,FALSE,BIG SUR — Del Mar Perfume Oil | Tarife Attar Atlas Collection,"Pacific coast, salt mist, wild cliffs. Tidal Territory. Clean, skin-safe perfume oil. Previously known as Del Mar. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
big-sur,,,,,,,,Size,12ml,,,,,TA-BIG-SUR-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
meishan,MEISHAN,"<h3>MEISHAN</h3><p><em>Previously known as China Rain</em></p><p>Rain-washed tea terraces, white lily</p><p>The tea terraces climb into cloud. In Sichuan's green heart, where the mountains trap the rain and the bamboo forests breathe mist, the air carries a scent that has no Western name — the Chinese call it petrichor before petrichor existed. Green leaves after rainfall, white lily opening in humid air, moss on ancient stone. Meishan is the scent of the world washing itself clean, of water becoming garden, of the moment after the storm when everything is new and glistening and impossibly alive.</p><p><strong>Tidal Territory</strong> — The Pull of Open Water</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Tidal, Tidal Territory, formerly China Rain, Rain-washed tea terraces, white lily, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-MEISHAN-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,MEISHAN perfume oil by Tarife Attar,FALSE,MEISHAN — China Rain Perfume Oil | Tarife Attar Atlas Collection,"Rain-washed tea terraces, white lily. Tidal Territory. Clean, skin-safe perfume oil. Previously known as China Rain. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
meishan,,,,,,,,Size,12ml,,,,,TA-MEISHAN-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
monaco,MONACO,"<h3>MONACO</h3><p><em>Previously known as Dubai Musk</em></p><p>Mediterranean luxury, coastal elegance</p><p>The harbor at dusk. White hulls rock gently against their moorings and the last light gilds the Casino's façade. The air carries neroli from the palace gardens, marine salt, and the metallic elegance of cold champagne. Monaco smells the way luxury feels when it stops trying — effortless, coastal, a whisper of citrus on a linen cuff.</p><p><strong>Tidal Territory</strong> — The Pull of Open Water</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Tidal, Tidal Territory, formerly Dubai Musk, Mediterranean luxury, coastal elegance, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-MONACO-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,MONACO perfume oil by Tarife Attar,FALSE,MONACO — Dubai Musk Perfume Oil | Tarife Attar Atlas Collection,"Mediterranean luxury, coastal elegance. Tidal Territory. Clean, skin-safe perfume oil. Previously known as Dubai Musk. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
monaco,,,,,,,,Size,12ml,,,,,TA-MONACO-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
tangiers,TANGIERS,"<h3>TANGIERS</h3><p><em>Previously known as Regatta</em></p><p>Bergamot, vervain, matcha tea, musk</p><p>The medina narrows and the light turns blue. White walls, white musks, the clean ethereal haze of the Moroccan art of scenting the body with nothing but air and light. Tangiers sits at the hinge of two seas, two continents, and its musk carries that duality: weightless and grounding, fresh and eternal.</p><p><strong>Tidal Territory</strong> — The Pull of Open Water</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Tidal, Tidal Territory, formerly Regatta, Bergamot, vervain, matcha tea, musk, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-TANGIERS-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,TANGIERS perfume oil by Tarife Attar,FALSE,TANGIERS — Regatta Perfume Oil | Tarife Attar Atlas Collection,"Bergamot, vervain, matcha tea, musk. Tidal Territory. Clean, skin-safe perfume oil. Previously known as Regatta. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
tangiers,,,,,,,,Size,12ml,,,,,TA-TANGIERS-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
tigris,TIGRIS,"<h3>TIGRIS</h3><p>Ancient river, grapefruit, ginger, ambrette</p><p>The river has been flowing since the first word was written in the clay beside it. The water catches light from a sky that stretches to the edges of civilization. Aquatic musk rises from the reeds — mineral, ancient, moving. The Tigris does not rush. It carries. And what it carries smells of green water, warm silt, and the patience of deep time.</p><p><strong>Tidal Territory</strong> — The Pull of Open Water</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Tidal, Tidal Territory, Ancient river, grapefruit, ginger, ambrette, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-TIGRIS-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,TIGRIS perfume oil by Tarife Attar,FALSE,TIGRIS — Perfume Oil | Tarife Attar Atlas Collection,"Ancient river, grapefruit, ginger, ambrette. Tidal Territory. Clean, skin-safe perfume oil. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
tigris,,,,,,,,Size,12ml,,,,,TA-TIGRIS-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
carmel,CARMEL,"<h3>CARMEL</h3><p><em>Previously known as White Amber</em></p><p>Soft amber, warm skin scent</p><p>The town has no street numbers because it has never needed them. In Carmel-by-the-Sea, the cypress trees lean with the fog and the ocean disappears every morning behind a veil of mist so soft it feels like gauze against your face. There are no neon signs. No urgency. Just the quiet warmth of amber worn close to skin, barely there, present only to those who lean in. Carmel is the scent of understatement — the whispered confidence of a woman who has never once raised her voice to be heard.</p><p><strong>Petal Territory</strong> — The Exhale of Living Gardens</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Petal, Petal Territory, formerly White Amber, Soft amber, warm skin scent, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-CARMEL-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,CARMEL perfume oil by Tarife Attar,FALSE,CARMEL — White Amber Perfume Oil | Tarife Attar Atlas Collection,"Soft amber, warm skin scent. Petal Territory. Clean, skin-safe perfume oil. Previously known as White Amber. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
carmel,,,,,,,,Size,12ml,,,,,TA-CARMEL-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
damascus,DAMASCUS,"<h3>DAMASCUS</h3><p><em>Previously known as Turkish Rose</em></p><p>Damask rose, Turkish rosewater</p><p>The rose harvest begins before dawn. Hands move through wet petals — Damask roses, heavy-headed, blooming in a perfection that lasts only hours. The distillers work quickly, capturing the fleeting sweetness before the Syrian sun burns it away. What remains is rosewater so pure it makes the air tremble, layered with a softness that lingers on linen and skin long after the petals have fallen.</p><p><strong>Petal Territory</strong> — The Exhale of Living Gardens</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Petal, Petal Territory, formerly Turkish Rose, Damask rose, Turkish rosewater, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-DAMASCUS-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,DAMASCUS perfume oil by Tarife Attar,FALSE,DAMASCUS — Turkish Rose Perfume Oil | Tarife Attar Atlas Collection,"Damask rose, Turkish rosewater. Petal Territory. Clean, skin-safe perfume oil. Previously known as Turkish Rose. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
damascus,,,,,,,,Size,12ml,,,,,TA-DAMASCUS-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
tobago,TOBAGO,"<h3>TOBAGO</h3><p><em>Previously known as Arabian Jasmine</em></p><p>Pure jasmine sambac, tropical bloom</p><p>The quieter island keeps its jasmine to itself. Where Trinidad drums and burns, Tobago blooms — white flowers climbing pastel walls, jasmine hedges lining red-dirt roads that lead to empty beaches and rainforest so old it remembers the Arawak. The air is generous here, warm and sweet without asking anything in return. Tobago is the scent of jasmine at its most honest — sun-opened, salt-touched, free of pretense, worn by the island the way the island wears its light: effortlessly.</p><p><strong>Petal Territory</strong> — The Exhale of Living Gardens</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Petal, Petal Territory, formerly Arabian Jasmine, Pure jasmine sambac, tropical bloom, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-TOBAGO-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,TOBAGO perfume oil by Tarife Attar,FALSE,TOBAGO — Arabian Jasmine Perfume Oil | Tarife Attar Atlas Collection,"Pure jasmine sambac, tropical bloom. Petal Territory. Clean, skin-safe perfume oil. Previously known as Arabian Jasmine. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
tobago,,,,,,,,Size,12ml,,,,,TA-TOBAGO-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
kandy,KANDY,"<h3>KANDY</h3><p><em>Previously known as Peach Memoir</em></p><p>Soft peach, velvety musk</p><p>The Temple of the Tooth holds the relic in silence, and the gardens hold everything else — orchids, frangipani, the soft velvet of peach blossoms after tropical rain. Kandy is the gentlest place in Sri Lanka, where the hill air softens every edge. The scent here is peach-warm, musk-soft, a velvety exhale that settles on the skin like a benediction.</p><p><strong>Petal Territory</strong> — The Exhale of Living Gardens</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Petal, Petal Territory, formerly Peach Memoir, Soft peach, velvety musk, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-KANDY-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,KANDY perfume oil by Tarife Attar,FALSE,KANDY — Peach Memoir Perfume Oil | Tarife Attar Atlas Collection,"Soft peach, velvety musk. Petal Territory. Clean, skin-safe perfume oil. Previously known as Peach Memoir. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
kandy,,,,,,,,Size,12ml,,,,,TA-KANDY-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
